o,n,i,h_km,e,p,t_ns,k,th_POP_GDP,th_POP_ONLY,cov,dead_cnt,NS_sth,EW_sth,NESW_sth,HG_sth,LG_sth,NS_cnt,EW_cnt,NESW_cnt,HG_cnt,LG_cnt,NS_selt,EW_selt,NESW_selt,HG_selt,LG_selt,ttl_accm_flw,flw_pr_lnk,unq_lnk_pr_flw
44,36,40.6,550,20.0,30,0,20,3647.4458917817146,3718.555658891272,142.339361955872,2,1.8357011870541606,1.142288069421268,1.1620362677783693,1.1396226347218386,1.4318124287175515,8.0,7.0,6.0,15.0,3.0,68,409,739,895,1140,1363.3457894598241,16,36
48,33,40.6,550,20.0,0,0,20,3627.825701280793,3702.0439212802276,142.56219699954508,2,1.7821427766176403,1.1287829313515494,1.1561943596504407,1.1317631650988254,1.4114491903620188,8.0,7.0,6.0,15.0,3.0,57,341,621,610,1547,1374.6217409946053,15.0,36
48,33,40.6,550,20.0,40,0,20,3544.542237715948,3641.9029981894682,142.20384656812516,2,1.7678164679783026,1.1566450474611734,1.1687066336271241,1.154770341152979,1.4114491903620188,8.0,7.0,6.0,15.0,3.0,72,423,694,883,1113,1331.0093728547429,16,35
48,33,40.6,550,20.0,10,0,20,3633.3022566044447,3708.482330204582,142.76152398103574,2,1.7898582129888094,1.1298349863665327,1.1541764658646592,1.1324768941102654,1.4114491903620188,8.0,7.0,6.0,15.0,3.0,53,342,658,642,1503,1368.0527981509538,16,36
48,33,40.6,550,20.0,20,0,20,3594.794556984124,3668.592975505541,142.64706162877658,2,1.8067588996701036,1.133810032413868,1.1533875922563113,1.1359851062390098,1.4114847553358658,8.0,7.0,6.0,15.0,3.0,65,441,726,811,1164,1370.1189276158025,16.0,36
48,33,40.6,550,20.0,30,0,20,3583.6904026071866,3686.642415648305,142.43087704423212,2,1.804665035857709,1.1430257772120975,1.157280774200764,1.1449061851022602,1.4107873763203196,8.0,7.0,6.0,15.0,3.0,81,433,703,868,1149,1372.398695252751,16,36
48,33,40.6,550,20.0,50,0,20,3534.8095111203743,3628.306413505739,142.22097912115555,2,1.7616488993247157,1.1692702004642133,1.173516201536293,1.1625462243784401,1.417442436592464,8.0,7.0,6.0,15.0,3.0,68,380,700,886,1133,1368.2306499865117,16,34
66,24,40.6,550,20.0,40,0,20,3670.4733280752707,3715.609468191535,142.20999225158005,2,1.7956005418954315,1.1753996145660213,1.170679226350871,1.206578936325658,1.409729033135943,7.5,6.0,6.0,13.0,3.0,63,447,684,717,1327,1481.934883709123,15.0,34
66,24,40.6,550,20.0,50,0,20,3758.33154281911,3806.1719293267192,142.3090308466699,2,1.837261438991938,1.1725156981379854,1.1720612128535821,1.2247875912628348,1.4156136691543981,7.5,6.0,6.0,12.0,3.0,76,455,703,1088,1003,1553.962798966147,16,36
66,24,40.6,550,20.0,30,0,20,3593.320733855294,3684.3302526057223,142.08462901921195,2,1.8207210481632465,1.169689645035374,1.1717375633817086,1.1739219336555688,1.4202127010030945,8.0,7.0,6.0,13.5,3.0,72,377,723,882,1112,1384.7500962307204,14,34
66,24,40.6,550,20.0,10,0,20,3558.271286446748,3625.048959690683,141.83735450491176,2,1.8953683212503791,1.131027448887124,1.161788510263454,1.1343597802616074,1.4189568553861924,8.0,7.0,6.0,15.0,3.0,78,403,678,863,1123,1331.1864955748879,15,36
66,24,40.6,550,20.0,0,0,20,3553.148927961042,3616.0297051055986,141.82738172749185,2,1.8885238931293782,1.1262591359628007,1.1628385981455494,1.1307920137564855,1.4151587881791272,8.0,7.5,6.0,15.0,3.0,66,367,662,588,1410,1325.3701705127312,15.0,37
66,24,40.6,550,20.0,20,0,20,3582.4203723937003,3669.292759548221,141.7467934566892,2,1.8079846485692292,1.1485203109383404,1.1715660132059198,1.148576127603799,1.4121242912461098,8.0,7.0,6.0,15.0,3.0,83,398,724,850,1083,1350.0817868011025,15.0,35
72,22,40.6,550,20.0,40,0,20,3776.0019443305223,3802.2404269042827,142.32975131647387,2,1.8133857199469154,1.1745297909330292,1.1729803193871189,1.2181582437243503,1.4218774675220773,7.5,6.0,5.5,12.0,3.0,62,471,729,1117,966,1548.7095153366524,15,35
72,22,40.6,550,20.0,30,0,20,3593.5612365667444,3677.023573995337,142.1933314540886,2,1.8522668407540748,1.177236591319484,1.1736751772516851,1.1996436064977751,1.4184260632822054,8.0,6.0,6.0,13.0,3.0,71,433,708,956,1020,1441.066696555161,14,33
